ID,gender,age,annual_income (*1000$),spending_score (1-100),family_size,family_annual_income,spent_by_categories(1-10),state,job_title
1776,Female,40,95,61,3,146,4,Louisiana,Dentist
1777,Female,27,54,67,2,181,4,Louisiana,Doctor
1778,Male,32,89,80,3,135,3,Massachusetts,Investment  Advisor
1779,Male,27,129,80,5,56,6,Louisiana,HR Coordinator
1780,Female,35,114,58,5,97,8,Utah,Call Center Representative
1781,Male,41,56,59,6,136,8,Louisiana,Ambulatory Nurse
1782,Female,40,84,48,5,140,2,New Hampshire,CNC Operator
1783,Female,51,120,71,2,61,4,Ohio,Restaurant Manager
1784,Female,17,64,49,6,78,9,New Hampshire,Paramedic
1785,Female,69,72,20,2,169,8,Delaware,Loan Officer
1786,Female,43,57,52,4,72,5,New York,Webmaster
1787,Male,70,95,45,6,110,1,Texas,Call Center Representative
1788,Female,67,81,82,6,111,2,New Jersey,Assistant Buyer
1790,Female,45,116,92,6,100,2,Hawaii,Front Desk Coordinator
1791,Female,64,100,42,3,97,9,New Hampshire,Software Engineer
1792,Male,67,107,25,5,65,8,Georgia,Assistant Buyer
1793,Male,35,126,88,6,83,9,New York,Banker
1794,Female,31,67,10,4,121,4,Texas,Global Logistics Supervisor
1795,Male,41,44,3,5,172,7,Texas,Design Engineer
1796,Male,58,56,83,6,116,8,Maryland,Call Center Representative
1797,Female,43,75,12,6,154,5,South Dakota,Bookkeeper
1798,Male,30,110,24,2,83,2,Hawaii,Web Developer
1799,Male,39,50,12,2,125,1,Florida,Fabricator
1800,Female,56,126,58,2,52,9,Ohio,Retail Trainee
1801,Male,18,112,22,2,93,9,Ohio,Stockbroker
1802,Female,71,88,67,5,189,3,Texas,Laboratory Technician
1803,Male,16,85,73,4,58,3,Kansas,Designer
1804,Male,30,103,20,4,120,5,Massachusetts,Food Technologist
1805,Male,18,95,38,5,162,1,Virginia,HR Specialist
1806,Male,58,116,88,3,106,5,Oregon,Systems Administrator
1807,Male,60,110,74,4,55,2,New Hampshire,Designer
1808,Female,36,65,39,5,146,4,Minnesota,HR Specialist
1809,Male,17,52,8,3,129,4,Louisiana,Banker
1810,Male,48,50,85,5,181,3,Alabama,HR Coordinator
1811,Female,61,42,84,5,109,4,New Mexico,Cash Manager
1813,Female,39,74,5,2,180,2,Indiana,Machine Operator
1814,Male,47,57,27,2,86,9,Iowa,Audiologist
1815,Female,73,83,35,2,136,5,Texas,Bookkeeper
1816,Male,49,72,91,2,88,3,Connecticut,Insurance Broker
1817,Female,75,103,55,2,125,2,Texas,Laboratory Technician
1818,Male,30,61,54,5,153,8,Oregon,Inspector
1819,Male,24,96,6,3,177,1,Arizona,Retail Trainee
1820,Male,73,84,69,5,87,2,Hawaii,Associate Professor
1821,Male,62,119,86,4,77,3,Nebraska,Doctor
1822,Male,31,42,25,3,68,3,South Dakota,Cash Manager
1823,Male,70,86,37,6,73,7,Michigan,Banker
1824,Female,75,112,36,2,150,3,Kentucky,IT Support Staff
1826,Female,49,94,2,2,136,2,New York,Food Technologist
1827,Male,60,119,71,6,115,4,New Jersey,Doctor
1828,Male,51,54,18,4,71,8,South Dakota,Pharmacist
1829,Male,43,42,40,4,52,3,Mississippi,Associate Professor
1830,Female,63,105,2,5,182,4,Iowa,Pharmacist
1832,Male,48,77,75,2,57,6,Florida,Doctor
1833,Male,55,78,77,2,67,8,Kansas,Budget Analyst
1834,Female,50,94,17,6,75,4,New York,Insurance Broker
1835,Female,71,69,22,5,188,3,Massachusetts,HR Coordinator
1837,Male,24,118,78,3,83,9,Arizona,Paramedic
1838,Female,44,102,10,2,89,3,Washington,Restaurant Manager
1839,Male,71,63,92,3,164,5,New Hampshire,IT Support Staff
1840,Female,26,61,21,4,125,1,Georgia,Inspector
1841,Female,18,41,88,6,171,2,Massachusetts,Business Broker
1842,Male,45,40,80,5,147,8,Nevada,Cook
1843,Male,49,112,59,4,115,2,New York,Mobile Developer
1844,Female,61,59,71,6,155,8,New Hampshire,HR Specialist
1845,Male,50,59,1,6,53,2,Indiana,IT Support Staff
1847,Female,61,74,49,2,144,2,Texas,HR Coordinator
1848,Female,45,119,11,6,76,3,Mississippi,Insurance Broker
1850,Male,38,123,49,5,174,2,Texas,Stockbroker
1851,Male,66,85,45,6,83,2,New York,Electrician
1852,Female,42,100,93,2,179,7,Texas,Production Painter
1853,Female,44,59,49,4,126,5,New Hampshire,Front Desk Coordinator
1854,Female,49,128,55,5,127,3,Idaho,Executive Director
1855,Female,68,42,52,2,66,6,Massachusetts,Baker
1856,Female,39,47,78,3,101,5,Connecticut,Food Technologist
1857,Female,68,85,68,4,158,4,Missouri,Accountant
1858,Male,23,40,89,2,68,4,South Carolina,Chef Manager
1859,Male,53,129,52,5,144,4,California,Design Engineer
1860,Female,28,88,24,6,69,3,New Hampshire,Steward
1861,Female,50,93,73,2,62,3,Kansas,Treasurer
1862,Female,69,91,60,4,65,8,North Carolina,Inspector
1863,Male,33,107,4,5,121,6,Mississippi,Banker
1864,Female,16,93,11,5,96,9,Washington,Chef Manager
1865,Female,29,69,22,3,73,6,Hawaii,Executive Director
1866,Female,35,73,29,6,108,8,Idaho,Designer
1867,Male,48,57,85,3,186,3,New York,Banker
1868,Female,55,87,27,4,74,9,Georgia,Machine Operator
1869,Male,55,46,6,5,124,6,Texas,Restaurant Manager
1870,Male,41,40,78,2,167,9,New Mexico,Banker
1871,Male,23,129,43,5,143,7,Missouri,Paramedic
1872,Male,31,115,69,5,174,4,Kansas,Cash Manager
1873,Male,73,66,62,5,151,6,Kentucky,Laboratory Technician
1874,Female,44,91,38,4,160,6,South Dakota,Cash Manager
1875,Female,47,76,36,5,92,5,Delaware,Laboratory Technician
1876,Male,65,51,18,6,54,8,Delaware,Insurance Broker
1877,Female,17,128,26,4,57,6,New Mexico,Retail Trainee
1878,Female,62,120,32,6,172,5,Massachusetts,Paramedic
1879,Female,31,93,81,2,108,3,New York,Audiologist
1880,Female,34,120,22,6,156,5,New York,Systems Administrator
1881,Female,22,45,19,2,148,8,Nebraska,Web Developer
1882,Female,68,79,35,6,169,4,Minnesota,Laboratory Technician
1884,Male,35,49,12,5,61,2,New York,Service Supervisor
1885,Female,44,54,33,6,75,8,Georgia,Front Desk Coordinator
1887,Male,29,68,92,5,83,7,Pennsylvania,Production Painter
1888,Female,78,61,63,5,93,1,Colorado,Insurance Broker
1889,Male,34,65,45,6,187,3,Michigan,Laboratory Technician
1890,Female,61,47,77,4,95,1,Washington,Biologist
1891,Male,45,123,51,3,103,1,Illinois,Inspector
1892,Male,43,96,51,6,130,9,New York,Steward
1893,Male,24,57,22,6,52,8,Florida,Dentist
1895,Male,71,91,40,2,125,1,Texas,Auditor
1896,Male,29,47,83,5,101,3,South Carolina,Executive Director
1897,Female,56,63,58,4,125,4,West Virginia,Healthcare Specialist
1898,Female,23,100,57,6,64,5,Mississippi,Web Developer
1899,Female,32,87,6,6,187,7,New York,Healthcare Specialist
1900,Male,57,42,87,6,85,6,Ohio,Auditor
1901,Male,44,64,66,6,93,5,Georgia,HR Specialist
1902,Male,42,83,37,3,86,1,Virginia,Executive Director
1903,Male,30,67,36,5,127,1,Maryland,Production Painter
1904,Male,51,120,66,2,116,9,Florida,Associate Professor
1905,Male,24,49,58,2,53,2,New Jersey,Clerk
1906,Male,36,62,37,5,175,2,Hawaii,Auditor
1907,Female,64,123,37,2,86,5,Mississippi,Retail Trainee
1909,Female,37,53,82,4,78,3,New York,Project Manager
1910,Male,17,124,91,3,144,2,Maryland,IT Support Staff
1911,Male,37,81,65,4,178,3,Utah,Cashier
1912,Female,40,94,14,6,180,6,Oregon,Auditor
1913,Female,17,107,87,4,87,3,Oregon,Assistant Buyer
1914,Male,35,60,44,3,59,8,New York,Health Educator
1915,Female,19,53,12,4,185,4,Louisiana,Dentist
1916,Female,25,115,48,6,115,6,Idaho,Fabricator
1917,Female,32,83,85,4,121,1,New York,Service Supervisor
1918,Male,20,96,35,2,177,8,Colorado,IT Support Staff
1919,Male,47,126,27,3,100,5,Maryland,Production Painter
1920,Male,33,69,21,6,135,6,Iowa,Executive Director
1921,Male,31,124,25,3,55,5,New York,Chef Manager
1922,Male,74,45,55,3,69,3,Washington,Lecturer
1923,Female,37,87,3,3,161,7,Indiana,Audiologist
1924,Female,50,124,47,5,137,5,South Carolina,Loan Officer
1925,Male,77,66,63,2,126,2,Maryland,Paramedic
1926,Female,36,101,59,6,122,7,Nevada,Auditor
1928,Female,53,63,29,3,61,1,New York,Stockbroker
1929,Male,74,86,61,2,55,8,Delaware,Budget Analyst
1930,Female,56,110,36,6,158,9,Illinois,Dentist
1931,Male,51,120,16,3,150,1,Illinois,Health Educator
1932,Female,66,42,11,6,105,5,New York,Systems Administrator
1934,Female,55,112,68,3,60,1,New Hampshire,Chef Manager
1935,Female,44,122,67,5,70,6,New Jersey,Audiologist
1936,Female,48,91,48,6,174,5,Washington,Ambulatory Nurse
1938,Male,25,127,31,4,161,7,Pennsylvania,CNC Operator
1939,Female,22,81,73,3,137,1,Texas,Service Supervisor
1940,Female,66,129,14,4,175,4,Ohio,Food Technologist
1941,Female,28,114,54,3,62,5,Arizona,Loan Officer
1942,Male,26,58,69,6,163,6,Arizona,Global Logistics Supervisor
1943,Female,58,83,48,3,129,2,Nebraska,Systems Administrator
1944,Female,64,68,16,4,77,3,Nevada,Budget Analyst
1945,Female,63,71,75,3,106,5,Arizona,Associate Professor
1946,Female,23,57,84,6,117,7,Delaware,Investment  Advisor
1947,Female,61,81,25,5,103,8,California,Doctor
1948,Female,59,103,57,2,64,3,South Carolina,Cash Manager
1949,Female,72,90,5,3,88,5,New Mexico,Web Developer
1950,Female,75,97,85,3,100,3,Minnesota,Business Broker
1953,Male,38,120,18,3,134,1,Nebraska,Baker
1954,Female,26,91,43,3,127,8,North Dakota,Service Supervisor
1955,Male,72,91,30,6,125,9,Texas,Investment  Advisor
1956,Female,68,59,67,2,83,6,Florida,Cashier
1957,Female,52,60,18,2,54,4,Texas,HR Specialist
1958,Female,20,89,6,4,180,7,Texas,Design Engineer
1959,Male,61,89,15,4,188,9,New York,Audiologist
1960,Male,17,106,25,3,92,6,New York,Investment  Advisor
1961,Male,35,64,16,2,72,3,Kansas,Designer
1962,Female,77,83,59,6,165,1,Missouri,Machine Operator
1963,Female,46,48,86,2,70,3,Texas,Treasurer
1964,Male,37,66,47,4,104,4,New York,Steward
1965,Male,60,103,35,5,189,5,Minnesota,Front Desk Coordinator
1966,Female,49,100,18,5,145,2,New York,Pharmacist
1967,Female,75,71,87,5,69,6,Texas,Steward
1969,Male,26,125,36,6,157,6,California,Insurance Broker
1970,Female,17,67,16,4,160,3,Louisiana,Lecturer
1972,Male,41,46,90,3,144,9,Texas,CNC Operator
1973,Female,48,59,22,3,104,3,Florida,Banker
1974,Female,76,52,73,5,71,2,Missouri,Design Engineer
1975,Male,40,63,41,6,163,9,Illinois,Service Supervisor
1976,Female,35,113,54,2,166,3,Mississippi,Cook
1977,Female,58,65,27,3,182,2,Pennsylvania,Web Developer
1978,Female,71,98,67,5,62,2,Mississippi,Cash Manager
1979,Male,70,129,15,5,159,2,West Virginia,Global Logistics Supervisor
1980,Female,35,91,65,6,131,1,Connecticut,Web Developer
1981,Female,50,54,66,3,179,6,Missouri,Systems Administrator
1982,Female,41,84,2,2,128,7,New York,Cook
1983,Male,53,93,25,3,84,3,North Carolina,Paramedic
1984,Female,27,94,28,6,182,7,Iowa,Auditor
1985,Female,17,112,74,3,121,8,Idaho,Cook
1986,Female,72,82,68,2,189,9,Massachusetts,IT Support Staff
1987,Female,56,57,57,6,113,8,Washington,Business Broker
1988,Female,40,60,64,3,158,7,Nebraska,Inspector
1989,Male,60,78,57,3,66,7,Nevada,Business Broker
1990,Male,61,114,84,3,121,8,Washington,Stockbroker
1991,Female,50,78,29,3,122,6,Nebraska,Health Educator
1992,Female,21,128,67,4,179,2,Tennessee,Cash Manager
1993,Female,71,47,19,3,73,5,Illinois,Physician
1995,Female,70,83,65,5,179,7,Minnesota,Accountant
1996,Female,26,123,92,2,169,4,Arizona,Business Broker
1997,Female,31,67,55,4,144,1,New York,Executive Director
1998,Male,17,74,48,3,177,4,New Mexico,Webmaster
1999,Female,42,40,20,4,164,6,Connecticut,HR Specialist
2000,Female,78,40,92,6,81,5,Hawaii,Associate Professor
2001,Female,69,76,63,4,92,7,Indiana,Lecturer
2002,Male,76,106,78,6,128,2,Minnesota,Dentist
2003,Male,19,118,49,2,146,9,New Mexico,Electrician
2004,Male,43,54,48,4,128,9,Illinois,Production Painter
2005,Female,28,76,78,5,123,3,Washington,Restaurant Manager
2006,Female,39,115,58,6,159,9,Nevada,Staffing Consultant
2007,Female,35,105,41,5,58,7,Virginia,Ambulatory Nurse
2008,Male,66,85,82,4,169,6,North Dakota,Operator
2009,Female,62,62,39,2,54,6,Texas,Mobile Developer
2010,Male,19,121,66,6,157,5,Texas,Bellman
2011,Male,78,114,84,5,81,8,North Carolina,Pharmacist
2012,Female,73,42,78,4,132,1,Delaware,Healthcare Specialist
2013,Female,26,102,69,5,123,9,Florida,CNC Operator
2015,Female,53,86,40,4,144,9,North Dakota,Doctor
2016,Female,23,103,24,2,134,3,Missouri,Web Developer
2018,Male,54,93,33,5,171,6,Iowa,Doctor
2019,Male,67,93,63,2,89,9,Louisiana,HR Specialist
2020,Female,65,54,51,5,76,6,Arizona,Assistant Buyer
2021,Male,21,48,21,5,70,5,New Hampshire,Call Center Representative
2022,Female,78,120,17,5,120,4,Pennsylvania,Retail Trainee
2023,Male,22,118,60,6,175,4,North Dakota,Machine Operator
2024,Male,37,89,24,3,115,7,Illinois,Bellman
2025,Female,48,47,66,3,76,8,Connecticut,Auditor
2026,Male,29,41,25,3,146,2,New York,Ambulatory Nurse
2027,Female,42,96,21,2,139,4,Colorado,Banker
2028,Female,78,66,28,5,69,9,Kansas,Cashier
2029,Female,40,50,57,5,61,3,Texas,Loan Officer
2031,Male,31,42,70,3,163,9,Maryland,Lecturer
2032,Male,17,53,70,5,96,3,Connecticut,Lecturer
2033,Male,22,104,38,6,141,9,Connecticut,Steward
2034,Male,19,83,59,6,158,3,Indiana,Cash Manager
2035,Female,47,103,68,6,81,9,Arizona,Clerk
2036,Female,68,65,66,3,143,5,New Jersey,Treasurer
2037,Female,70,99,25,6,145,5,Idaho,Operator
2038,Female,68,105,74,5,169,4,Texas,Clerk
2039,Female,60,79,21,3,109,7,Mississippi,Cash Manager
2040,Male,55,94,61,6,94,8,New Mexico,Insurance Broker
2041,Male,41,75,58,6,87,1,Georgia,Auditor
2042,Male,47,45,10,6,69,4,Florida,Bellman
2043,Female,60,62,58,5,103,2,California,Systems Administrator
2044,Male,74,57,41,2,91,3,Florida,Design Engineer
2045,Female,28,120,76,6,155,5,Georgia,Electrician
2046,Female,38,76,22,3,189,2,Mississippi,Auditor
2047,Female,78,105,41,4,99,3,South Dakota,Steward
2048,Female,50,46,3,3,154,8,New York,Software Engineer
2049,Female,58,75,88,4,142,5,Texas,Doctor
2050,Female,45,125,80,6,97,5,Florida,Design Engineer
2051,Male,69,76,92,2,103,3,New York,Bellman
2052,Male,55,49,90,5,104,6,Mississippi,Service Supervisor
2053,Male,32,78,8,4,104,6,Arizona,Steward
2054,Male,36,48,6,4,189,3,New Mexico,Loan Officer
2055,Female,21,128,72,6,126,3,Texas,Web Developer
2056,Female,57,93,50,5,83,4,New Hampshire,Audiologist
2057,Female,76,64,14,2,172,5,California,Physician
2058,Male,22,118,62,3,156,3,New Jersey,Investment  Advisor
2059,Male,52,43,51,2,139,7,West Virginia,Cash Manager
2061,Female,30,84,50,3,142,7,Massachusetts,Fabricator
2062,Male,60,44,45,4,79,8,Maryland,Bellman
2063,Male,70,111,23,2,92,1,Texas,Associate Professor
2064,Male,42,45,31,6,167,1,Michigan,Fabricator
2065,Male,63,79,28,3,174,7,Georgia,Machine Operator
2066,Female,78,113,4,5,78,4,Iowa,IT Support Staff
2067,Male,26,102,21,2,127,6,Maryland,Mobile Developer
2068,Female,36,95,53,5,110,4,New York,CNC Operator
2069,Female,51,118,3,3,187,6,North Dakota,Budget Analyst
2070,Female,64,43,3,6,147,1,Virginia,Investment  Advisor
2071,Male,78,129,93,2,88,4,Arizona,Front Desk Coordinator
2072,Male,73,64,28,4,188,3,New Jersey,Paramedic
2073,Male,48,55,77,3,101,3,West Virginia,Software Engineer
2074,Male,25,58,24,6,125,6,New York,Banker
2075,Male,36,102,20,6,122,5,Mississippi,Audiologist
2076,Female,37,71,21,5,159,8,New York,Electrician
2077,Female,63,93,36,6,140,6,North Dakota,Health Educator
2078,Female,41,105,74,4,140,8,Texas,Paramedic
2079,Male,42,49,70,4,58,7,Connecticut,Staffing Consultant
2080,Female,40,55,22,2,170,7,Delaware,Associate Professor
2081,Female,41,72,38,4,188,6,West Virginia,Systems Administrator
2082,Male,64,63,82,6,136,6,New York,Systems Administrator
2083,Female,56,90,30,3,55,2,New York,Global Logistics Supervisor
2084,Male,45,106,55,6,120,1,Texas,Associate Professor
2085,Female,25,56,35,2,186,1,Pennsylvania,Health Educator
2086,Male,67,87,32,4,79,8,North Dakota,Steward
2087,Female,22,116,22,2,123,1,South Carolina,Auditor
2088,Male,69,95,19,4,152,4,Utah,Retail Trainee
2089,Male,68,43,30,3,68,9,New York,Designer
2090,Male,76,97,73,5,99,3,Texas,Web Developer
2091,Female,40,77,9,6,109,2,Pennsylvania,Service Supervisor
2092,Male,53,117,73,4,185,1,Michigan,Loan Officer
2093,Female,53,86,14,5,138,2,Alabama,Health Educator
2095,Female,51,87,46,6,62,1,New York,Doctor
2096,Male,62,42,13,6,100,8,Texas,Audiologist
2097,Male,35,125,70,3,104,6,Arizona,Health Educator
2098,Male,16,43,3,2,57,1,Oregon,Designer
2099,Female,34,96,55,5,146,3,Nevada,Production Painter
2100,Female,21,88,23,5,139,6,Mississippi,Doctor
2101,Female,67,80,22,3,98,6,Oregon,HR Specialist
2102,Female,65,47,82,5,180,6,New Hampshire,Inspector
2103,Male,57,97,37,3,117,4,Florida,Baker
2104,Female,30,113,55,2,150,8,Indiana,Accountant
2105,Male,33,119,62,5,179,9,New Jersey,Mobile Developer
2106,Male,31,116,63,4,167,2,California,Loan Officer
2107,Female,66,99,51,4,61,9,Michigan,Treasurer
2109,Female,63,64,61,4,77,4,New York,Project Manager
2110,Male,62,82,52,4,85,6,Pennsylvania,Laboratory Technician
2111,Female,41,118,55,5,152,2,Pennsylvania,Fabricator
2112,Female,26,74,52,3,73,5,Connecticut,Project Manager
2113,Male,65,84,55,4,104,7,New York,Inspector
2114,Male,43,117,4,4,68,8,Kentucky,Bellman
2116,Male,51,64,75,6,76,8,Iowa,Restaurant Manager
2117,Female,60,72,80,4,139,3,New Hampshire,Fabricator
2119,Male,66,54,55,4,138,2,North Dakota,Steward
2120,Female,51,89,75,5,89,6,New York,Assistant Buyer
2121,Female,75,111,14,2,52,6,Oregon,Chef Manager
2122,Female,56,118,13,2,76,5,Mississippi,Accountant
2123,Male,29,61,85,6,152,2,Utah,Physician
2124,Female,52,84,84,6,67,9,North Dakota,Physician
2125,Male,20,96,79,6,134,7,New Mexico,Biologist
2126,Female,67,116,73,2,174,7,Nevada,Associate Professor
2127,Male,38,89,32,3,165,2,North Carolina,Retail Trainee
2128,Male,43,67,76,6,112,6,Indiana,Dentist
2129,Male,62,90,82,3,85,7,Texas,Paramedic
2130,Female,21,113,11,5,149,5,Texas,Call Center Representative
2131,Female,59,57,53,4,98,5,Oregon,HR Coordinator
2132,Male,30,113,88,3,64,7,South Carolina,Bellman
2133,Female,38,46,16,5,66,6,Washington,Business Broker
2134,Female,32,110,8,6,100,5,Connecticut,Audiologist
2135,Female,58,117,27,5,82,3,New York,Bookkeeper
2136,Male,65,62,64,6,67,6,North Dakota,Banker
2137,Female,31,125,67,5,60,4,Texas,Business Broker
2138,Female,62,60,5,2,108,5,Florida,IT Support Staff
2139,Female,61,77,47,3,72,9,Missouri,Designer
2140,Female,42,43,12,3,124,7,California,Call Center Representative
2141,Female,47,109,76,6,78,5,Virginia,Staffing Consultant
2142,Male,61,93,52,4,53,8,New Mexico,Physician
2143,Female,35,90,37,2,77,6,California,Systems Administrator
2144,Male,37,54,75,5,99,9,Colorado,Webmaster
2145,Male,62,94,63,2,59,8,Georgia,Software Engineer
2146,Male,34,100,13,4,117,9,New York,Production Painter
2147,Female,39,77,78,6,91,5,Nebraska,Banker
2148,Male,25,125,40,6,100,7,Nevada,Cash Manager
2149,Female,23,80,52,6,105,6,North Dakota,Doctor
2151,Male,77,91,51,2,130,4,Arizona,Investment  Advisor
2152,Female,16,45,45,4,109,9,Nevada,HR Coordinator
2153,Female,44,91,76,5,128,2,Arizona,Auditor
2154,Male,71,41,46,5,109,5,Hawaii,Ambulatory Nurse
2155,Male,39,111,1,3,107,4,Michigan,Investment  Advisor
2156,Female,39,121,38,2,62,4,Louisiana,Operator
2157,Female,20,70,60,2,176,9,Tennessee,Paramedic
2158,Male,76,84,50,3,90,6,Texas,IT Support Staff
2159,Female,51,129,76,3,147,9,South Dakota,Cashier
2160,Male,61,44,73,6,186,9,New York,Service Supervisor
2161,Female,64,100,24,3,105,8,Illinois,HR Specialist
2162,Male,65,67,51,4,173,1,Idaho,Front Desk Coordinator
2163,Male,33,65,33,6,74,8,Texas,Production Painter
2164,Female,46,103,1,6,102,8,Texas,Lecturer
2165,Female,53,97,40,2,86,4,Michigan,Cash Manager
2166,Male,43,112,40,4,77,5,Delaware,Cash Manager
2167,Male,23,108,57,5,181,1,Pennsylvania,Executive Director
2168,Male,37,127,43,5,96,6,New York,Associate Professor
2169,Male,35,77,54,4,169,7,Texas,Physician
2170,Female,50,78,52,3,152,8,Oregon,Treasurer
2171,Male,18,116,19,2,128,5,Pennsylvania,Treasurer
2172,Female,50,44,53,3,82,6,Utah,Dentist
2173,Male,63,117,4,2,114,8,Indiana,Steward
2174,Male,51,42,8,4,152,4,Virginia,Cook
2175,Female,35,83,25,2,101,5,New York,Healthcare Specialist
2176,Female,54,128,6,6,111,2,Mississippi,HR Specialist
2177,Male,18,61,86,5,189,5,Texas,Bellman
2178,Male,41,100,10,3,183,3,West Virginia,Banker
2179,Female,77,48,88,6,175,6,Connecticut,Designer
2180,Male,55,59,88,3,100,1,Texas,Mobile Developer
2181,Male,42,117,70,3,143,9,Alabama,Electrician
2182,Male,50,118,17,4,147,9,Pennsylvania,Steward
2183,Female,44,115,87,6,73,2,Texas,Treasurer
2184,Male,57,41,80,6,132,1,New York,Budget Analyst
2185,Male,60,67,22,6,52,7,California,Front Desk Coordinator
2186,Male,59,82,69,5,112,6,Massachusetts,Insurance Broker
2187,Female,26,42,62,2,125,5,Connecticut,Doctor
2188,Female,46,109,87,6,149,1,West Virginia,HR Specialist
2189,Female,19,72,19,4,82,2,Pennsylvania,Restaurant Manager
2190,Male,26,97,33,5,165,6,New Jersey,Web Developer
2191,Male,60,116,34,2,187,9,Texas,HR Coordinator
2192,Male,76,124,73,6,114,7,Alabama,Steward
2193,Male,24,118,68,6,110,8,New Mexico,Healthcare Specialist
2194,Male,41,75,59,4,147,2,Connecticut,Designer
2195,Male,51,78,16,2,56,2,New York,Cook
2196,Female,63,91,37,6,105,8,Minnesota,Front Desk Coordinator
2197,Male,45,64,82,6,180,5,Delaware,Accountant
2198,Female,61,102,49,4,164,7,South Carolina,Budget Analyst
2199,Male,74,121,7,6,97,8,Connecticut,Biologist
2200,Male,20,99,54,4,167,3,Texas,Investment  Advisor
2201,Female,71,88,40,6,98,1,North Dakota,HR Coordinator
2202,Male,23,89,38,3,82,6,Washington,Auditor
2203,Female,48,102,24,3,76,1,Minnesota,Steward
2204,Female,20,77,31,4,96,4,New York,Laboratory Technician
2205,Male,62,49,42,3,155,5,Iowa,Designer
2206,Female,17,101,65,2,186,2,Texas,Restaurant Manager
2207,Female,73,128,22,5,140,7,Virginia,Auditor
2208,Male,19,45,27,3,102,4,Arizona,Auditor
2209,Male,64,126,85,3,124,4,Texas,Web Developer
2210,Male,20,66,34,3,103,7,Hawaii,Treasurer
2211,Male,30,70,10,3,82,9,Indiana,Health Educator
2212,Female,73,73,63,2,125,9,California,Service Supervisor
2213,Female,73,40,39,6,160,7,Texas,Banker
2214,Female,43,78,19,4,114,4,Florida,Budget Analyst
2215,Female,76,68,42,6,85,6,South Dakota,Healthcare Specialist
2216,Male,58,41,68,4,74,2,Ohio,Web Developer
2217,Female,26,80,46,2,75,5,Utah,Doctor
2218,Male,21,85,66,4,94,6,West Virginia,Webmaster
2219,Female,19,80,14,4,180,4,Texas,Global Logistics Supervisor
2220,Male,42,98,94,5,113,5,Alabama,Cash Manager
2221,Male,44,76,61,5,99,2,New Hampshire,Doctor
2222,Female,51,78,49,4,111,7,Delaware,HR Specialist
2223,Female,60,78,91,3,149,4,Georgia,Bellman
2224,Male,59,65,75,6,145,6,Nebraska,Physician
2225,Female,78,84,58,5,150,9,California,Clerk
2226,Male,25,116,8,6,65,9,Florida,Cash Manager
2227,Female,54,67,17,3,177,3,South Dakota,Call Center Representative
2228,Female,68,116,82,4,163,2,Florida,Cash Manager
2229,Male,32,126,76,3,145,8,Virginia,Paramedic
2230,Female,24,87,50,3,75,6,Pennsylvania,Cash Manager
2231,Female,35,83,77,4,179,3,North Carolina,Software Engineer
2232,Female,25,51,61,3,142,6,Michigan,HR Coordinator
2233,Female,78,110,82,2,145,3,Delaware,Software Engineer
2234,Female,68,86,51,2,111,7,California,Ambulatory Nurse
2235,Male,68,90,72,6,125,9,Nevada,Cashier
2236,Female,23,78,63,5,118,5,Colorado,Global Logistics Supervisor
2237,Female,76,66,38,6,63,6,Tennessee,Physician
2238,Male,48,49,49,3,84,4,Oregon,HR Specialist
2240,Male,23,73,62,5,110,5,Kansas,Treasurer
2241,Male,36,75,49,5,52,9,Massachusetts,Health Educator
2242,Male,45,95,19,2,85,9,Washington,Software Engineer
2243,Female,61,108,75,6,160,1,New York,Bookkeeper
2244,Female,29,57,21,5,104,9,New York,IT Support Staff
2245,Male,43,79,39,5,115,5,Utah,Biologist
2246,Female,33,84,84,2,81,5,Tennessee,Software Engineer
2247,Male,45,49,55,5,170,3,New York,Lecturer
2248,Female,42,107,87,6,89,3,New Hampshire,Web Developer
2249,Male,73,118,28,3,112,7,Pennsylvania,Fabricator
2250,Female,37,116,56,6,137,3,New York,Executive Director
2251,Male,19,93,92,3,61,5,West Virginia,Pharmacist
2252,Male,27,76,24,4,188,6,Alabama,Associate Professor
2253,Male,71,61,19,6,181,6,New York,Dentist
2254,Female,38,99,42,2,86,3,Nevada,Dentist
2255,Female,21,62,33,4,140,9,West Virginia,Bellman
2256,Male,41,96,39,4,101,8,New York,Fabricator
2257,Male,37,86,80,6,135,5,North Carolina,Dentist
2258,Male,59,111,91,3,63,6,Hawaii,Bookkeeper
2259,Male,75,48,20,2,134,7,Arizona,Service Supervisor
2260,Female,71,107,74,5,131,5,New Mexico,Mobile Developer
2261,Male,73,85,69,2,98,6,South Dakota,Project Manager
2262,Female,69,96,91,3,128,2,Delaware,Software Engineer
2263,Male,30,47,26,6,163,9,Connecticut,Retail Trainee
2264,Male,24,72,89,2,68,4,New York,Bellman
2265,Male,18,57,35,2,137,3,Louisiana,Cook
2266,Female,29,109,32,6,178,8,Arizona,HR Coordinator
2267,Male,52,80,25,6,140,5,New Jersey,Loan Officer
2268,Female,64,63,78,3,168,9,Texas,Associate Professor
2269,Male,24,81,94,4,96,4,Oregon,HR Specialist
2270,Male,26,85,64,4,109,6,Ohio,Health Educator
2271,Male,50,118,38,2,135,9,Ohio,Laboratory Technician
2273,Female,41,101,75,5,186,3,Tennessee,Ambulatory Nurse
2274,Male,17,67,80,2,56,3,California,Auditor
2275,Female,40,123,85,3,94,2,Alabama,Paramedic
